id_experimento,T,n_puntos,r2_nernst,mae_nernst,nrmse_nernst,r2_pls,mae_pls,nrmse_pls,r2_kpls,mae_kpls,nrmse_kpls,mejor_modelo
94,650.0,1,,0.0499,,,0.0397,,,0.0444,,Nernst
95,650.0,16,0.9142,0.0205,0.0897,0.9125,0.0223,0.0906,0.9799,0.0111,0.0435,KPLS
96,650.0,16,0.8897,0.0323,0.1008,0.989,0.0101,0.0318,0.9718,0.0131,0.051,PLS
97,650.0,1,,0.053,,,0.0586,,,0.0538,,Nernst
98,650.0,16,0.9176,0.0259,0.0879,0.9807,0.0119,0.0426,0.9825,0.0099,0.0405,KPLS
99,650.0,16,0.8262,0.0365,0.1274,0.9547,0.0168,0.065,0.985,0.0106,0.0374,KPLS
100,650.0,1,,0.0494,,,0.0456,,,0.0501,,Nernst
101,650.0,1,,0.064,,,0.0708,,,0.0524,,Nernst
102,650.0,16,0.8587,0.0336,0.1141,0.9729,0.0144,0.05,0.9843,0.0108,0.038,KPLS
103,650.0,1,,0.0469,,,0.0494,,,0.051,,Nernst
104,650.0,1,,0.0813,,,0.0896,,,0.0509,,Nernst
105,650.0,1,,0.0441,,,0.053,,,0.0489,,Nernst
106,650.0,1,,0.0413,,,0.0565,,,0.0441,,Nernst
107,650.0,1,,0.041,,,0.0626,,,0.0392,,Nernst
108,650.0,1,,0.0389,,,0.0669,,,0.03,,Nernst
109,650.0,1,,0.0382,,,0.0725,,,0.0197,,Nernst
110,650.0,1,,0.0357,,,0.0764,,,0.0052,,Nernst
111,650.0,1,,0.0359,,,0.0829,,,0.0089,,Nernst
168,650.0,15,0.8938,0.0273,0.0995,0.9454,0.0171,0.0714,0.9764,0.0117,0.0469,KPLS
169,650.0,8,0.9456,0.0278,0.076,0.9551,0.0211,0.069,0.9798,0.0154,0.0464,KPLS
170,650.0,16,0.83,0.0358,0.1259,0.9438,0.0182,0.0724,0.9781,0.012,0.0452,KPLS
