id_experimento,T,n_puntos,r2_nernst,mae_nernst,r2_pls,mae_pls,r2_kpls,mae_kpls,r2_gpr,mae_gpr,r2_gpr_res,mae_gpr_res,mejor_modelo
22,650.0,28,0.9766,0.0142,0.9547,0.0187,0.9507,0.021,0.9906,0.0067,0.9962,0.0051,GPR_Res
23,650.0,15,0.8885,0.0284,0.8402,0.0312,0.9569,0.0158,0.9968,0.0043,0.9982,0.0034,GPR_Res
24,650.0,15,0.8989,0.0276,0.8773,0.0274,0.9796,0.0113,0.9942,0.0065,0.9931,0.0073,GPR
25,650.0,15,0.8832,0.0292,0.8212,0.0324,0.9435,0.0187,0.9937,0.0058,0.9954,0.0053,GPR_Res
26,650.0,15,0.9026,0.0274,0.8628,0.0287,0.9637,0.0147,0.9896,0.0081,0.9978,0.0037,GPR_Res
27,650.0,16,0.8987,0.028,0.7822,0.0357,0.9246,0.0223,0.9906,0.0083,0.9967,0.0046,GPR_Res
28,650.0,16,0.83,0.0358,0.7108,0.0415,0.8889,0.0265,0.9888,0.0078,0.9983,0.003,GPR_Res
29,650.0,15,0.8689,0.0307,0.7787,0.0353,0.9197,0.0222,0.9944,0.0054,0.9989,0.0023,GPR_Res
30,650.0,16,0.8529,0.0338,0.7364,0.0397,0.8967,0.026,0.9908,0.0075,0.9977,0.0036,GPR_Res
31,650.0,15,0.7934,0.0403,0.6781,0.046,0.8032,0.0405,0.9882,0.0085,0.9889,0.0089,GPR_Res
32,650.0,15,0.9698,0.0101,0.9035,0.0254,0.9587,0.0197,0.9962,0.0048,0.9744,0.0155,GPR
33,650.0,15,0.9685,0.0165,0.9514,0.019,0.9624,0.0205,0.9928,0.009,0.9624,0.02,GPR
34,650.0,15,0.9334,0.0228,0.9191,0.0238,0.9857,0.0095,0.9777,0.0143,0.9724,0.0152,KPLS
35,650.0,15,0.9578,0.0192,0.932,0.0216,0.9558,0.02,0.9548,0.0209,0.9202,0.0271,Nernst
36,650.0,15,0.9342,0.0231,0.9136,0.0245,0.9873,0.0098,0.9906,0.0085,0.9967,0.0045,GPR_Res
37,650.0,15,0.9421,0.0211,0.8668,0.0282,0.9589,0.0167,0.9938,0.0067,0.9961,0.0052,GPR_Res
38,650.0,16,0.8262,0.0365,0.7191,0.0409,0.8941,0.026,0.9885,0.0085,0.9977,0.0035,GPR_Res
39,650.0,16,0.8974,0.0289,0.7886,0.0368,0.94,0.0201,0.9922,0.0063,0.9922,0.0076,GPR_Res
40,650.0,16,0.8554,0.0336,0.7454,0.0393,0.8959,0.0264,0.9914,0.0075,0.9927,0.0075,GPR_Res
41,650.0,15,0.8088,0.0402,0.6184,0.0549,0.7937,0.0439,0.9663,0.0173,0.9795,0.0126,GPR_Res
42,650.0,15,0.9862,0.0105,0.9671,0.0165,0.9858,0.0125,0.9982,0.0036,0.9983,0.0036,GPR_Res
43,650.0,14,0.988,0.0073,0.9274,0.0244,0.9306,0.0268,0.9956,0.0056,0.9984,0.003,GPR_Res
44,650.0,14,0.9685,0.0143,0.8462,0.0435,0.8254,0.045,0.9803,0.0126,0.9947,0.007,GPR_Res
45,650.0,15,0.9831,0.0109,0.9376,0.0204,0.9887,0.0098,0.989,0.01,0.988,0.01,GPR
46,650.0,16,0.8587,0.0336,0.7734,0.0383,0.9235,0.0224,0.9922,0.0079,0.9965,0.0046,GPR_Res
